accession,pairs,gene,protein,seq_len,class,is_ion_channel
P21675,6,TAF1,Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250),1872,other,False
P0AES6,6,gyrB,DNA gyrase subunit B (EC 5.6.2.2) (Type IIA topoisomerase subunit GyrB),804,other,False
P06401,6,PGR,Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3),933,nuclear_receptor,False
P9WPL0,6,cyp144,Cytochrome P450 144 (EC 1.14.-.-),434,other,False
P07382,6,,Bifunctional dihydrofolate reductase-thymidylate synthase (DHFR-TS) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)],520,other,False
P07445,6,ksi,Steroid Delta-isomerase (EC 5.3.3.1) (Delta(5)-3-ketosteroid isomerase),131,other,False
O00257,6,CBX4,E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2),560,other,False
P47901,6,AVPR1B,Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor),424,gpcr,False
Q9UIF9,6,BAZ2A,Bromodomain adjacent to zinc finger domain protein 2A (Transcription termination factor I-interacting protein 5) (TTF-I-interacting protein 5) (Tip5) (hWALp3),1905,other,False
P23280,6,CA6,Carbonic anhydrase 6 (EC 4.2.1.1) (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase),308,other,False
P03951,6,F11,Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain],625,protease,False
O95503,6,CBX6,Chromobox protein homolog 6,412,other,False
P09960,6,LTA4H,Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H) (EC 3.4.11.4),611,protease,False
Q9UKP6,6,UTS2R,Urotensin-2 receptor (UR-2-R) (G-protein coupled receptor 14) (Urotensin II receptor) (UR-II-R),389,gpcr,False
P00747,6,PLG,"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]",810,protease,False
P00749,6,PLAU,Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],431,protease,False
Q8N884,6,CGAS,Cyclic GMP-AMP synthase (cGAMP synthase) (cGAS) (h-cGAS) (EC 2.7.7.86) (2'3'-cGAMP synthase) (Mab-21 domain-containing protein 1),522,other,False
P83916,6,CBX1,Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta),185,other,False
Q9ULX7,6,CA14,Carbonic anhydrase 14 (EC 4.2.1.1) (Carbonate dehydratase XIV) (Carbonic anhydrase XIV) (CA-XIV),337,other,False
P08235,6,NR3C2,Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2),984,nuclear_receptor,False
Q9NPI1,6,BRD7,Bromodomain-containing protein 7 (75 kDa bromodomain protein) (Protein CELTIX-1),651,other,False
P22748,6,CA4,Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV),312,other,False
P30518,6,AVPR2,Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor),371,gpcr,False
Q01782,6,PTR1,Pteridine reductase 1 (EC 1.5.1.33) (H region methotrexate resistance protein),288,other,False
P14867,5,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1) (GABAAR subunit alpha-1),456,ion_channel,True
P41182,5,BCL6,B-cell lymphoma 6 protein (BCL-6) (B-cell lymphoma 5 protein) (BCL-5) (Protein LAZ-3) (Zinc finger and BTB domain-containing protein 27) (Zinc finger protein 51),706,other,False
Q16602,5,CALCRL,Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor) (CRLR),461,gpcr,False
P16390,5,Kcna3,Potassium voltage-gated channel subfamily A member 3 (MK3) (Voltage-gated potassium channel subunit Kv1.3),528,ion_channel,True
P18089,5,ADRA2B,Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR),450,gpcr,False
Q05320,5,GP,"Envelope glycoprotein (GP1,2) (GP) [Cleaved into: Shed GP (GP1,2-delta); GP1; GP2]",676,other,False
P23977,5,Slc6a3,Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3),619,other,False
P24593,5,IGFBP5,Insulin-like growth factor-binding protein 5 (IBP-5) (IGF-binding protein 5) (IGFBP-5),272,other,False
P35222,5,CTNNB1,Catenin beta-1 (Beta-catenin),781,other,False
P30098,5,TACR3,Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3),440,gpcr,False
P30405,5,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)",207,other,False
P30989,5,NTSR1,Neurotensin receptor type 1 (NT-R-1) (NTR1) (High-affinity levocabastine-insensitive neurotensin receptor) (NTRH),418,gpcr,False
Q8NEB9,5,PIK3C3,Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34),887,kinase,False
P61077,5,UBE2D3,Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3),147,other,False
Q92769,5,HDAC2,Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-),488,other,False
Q93YN9,5,IPK1,"Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (AtIPK1) (InsP5 2-kinase)",451,other,False
P97266,5,OPRM1,Mu-type opioid receptor (M-OR-1) (MOR-1),98,gpcr,False
P02724,5,GYPA,Glycophorin-A (MN sialoglycoprotein) (PAS-2) (Sialoglycoprotein alpha) (CD antigen CD235a),150,other,False
P02752,5,,"Riboflavin-binding protein (RBP) [Cleaved into: Riboflavin-binding protein, plasma form; Riboflavin-binding protein, yolk major form; Riboflavin-binding protein, yolk minor form]",238,other,False
P03452,5,HA,Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain],565,other,False
P10275,5,AR,Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),920,nuclear_receptor,False
Q9BXF3,5,CECR2,Chromatin remodeling regulator CECR2 (Cat eye syndrome critical region protein 2),1484,other,False
P47811,5,Mapk14,Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (CRK1) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha),360,kinase,False
P07306,5,ASGR1,Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1),291,other,False
P00491,5,PNP,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase),289,other,False
P01008,5,SERPINC1,Antithrombin-III (ATIII) (Serpin C1),464,other,False
O76074,5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35) (cGMP-binding cGMP-specific phosphodiesterase) (CGB-PDE)",875,other,False
Q9Y5Y4,5,PTGDR2,Prostaglandin D2 receptor 2 (Chemoattractant receptor-homologous molecule expressed on Th2 cells) (G-protein coupled receptor 44) (CD antigen CD294),395,gpcr,False
Q8TEK3,5,DOT1L,"Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (Disruptor of telomeric silencing 1-like histone lysine methyltransferase) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)",1537,other,False
P32239,5,CCKBR,Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R),447,gpcr,False
O95372,4,LYPLA2,Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase II) (LPL-II) (LysoPLA II) (Palmitoyl-protein hydrolase) (EC 3.1.2.22),231,other,False
P31652,4,Slc6a4,Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4),630,other,False
Q9Y4K3,4,TRAF6,TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (Interleukin-1 signal transducer) (RING finger protein 85) (RING-type E3 ubiquitin transferase TRAF6),522,other,False
O15164,4,TRIM24,Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24),1050,other,False
Q9NYB0,4,TERF2IP,Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Dopamine receptor-interacting protein 5) (Repressor/activator protein 1 homolog) (RAP1 homolog) (hRap1),399,other,False
O60755,4,GALR3,Galanin receptor type 3 (GAL3-R) (GALR-3),368,gpcr,False
P00760,4,PRSS1,Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsin) (Pretrypsinogen I) (Trypsin I) (Trypsin-I) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2],246,protease,False
Q14781,4,CBX2,Chromobox protein homolog 2,532,other,False
Q14573,4,ITPR3,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR3 (IP3 receptor isoform 3) (IP3R-3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)",2671,ion_channel,True
P27487,4,DPP4,Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)],766,protease,False
Q9ULD4,4,BRPF3,Bromodomain and PHD finger-containing protein 3,1205,other,False
P23284,4,PPIB,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP),216,other,False
O75311,4,GLRA3,Glycine receptor subunit alpha-3,464,ion_channel,True
P28221,4,HTR1D,5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D),377,gpcr,False
Q8NER1,4,TRPV1,Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1),839,ion_channel,True
P04608,4,tat,Protein Tat (Transactivating regulatory protein),86,other,False
P16257,4,Tspo,Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR),169,other,False
P0A988,4,dnaN,Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit),366,other,False
P11387,4,TOP1,DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I),765,other,False
Q92731,4,ESR2,Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2),530,nuclear_receptor,False
P12497,4,gag-pol,Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)],1435,protease,False
Q92830,4,KAT2A,Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (hGCN5) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A) (STAF97),837,other,False
Q92843,4,BCL2L2,Bcl-2-like protein 2 (Bcl2-L-2) (Apoptosis regulator Bcl-W),193,other,False
P16389,4,KCNA2,Potassium voltage-gated channel subfamily A member 2 (NGK1) (Voltage-gated K(+) channel HuKIV) (Voltage-gated potassium channel HBK5) (Voltage-gated potassium channel subunit Kv1.2),499,ion_channel,True
P20701,4,ITGAL,Integrin alpha-L (CD11 antigen-like family member A) (Leukocyte adhesion glycoprotein LFA-1 alpha chain) (LFA-1A) (Leukocyte function-associated molecule 1 alpha chain) (CD antigen CD11a),1170,other,False
Q63931,4,CCKAR,Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R),430,gpcr,False
Q96JM7,4,L3MBTL3,Lethal(3)malignant brain tumor-like protein 3 (H-l(3)mbt-like protein 3) (L(3)mbt-like protein 3) (L3mbt-like 3) (MBT-1),780,other,False
P07477,4,PRSS1,Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2],247,protease,False
Q99720,4,SIGMAR1,Sigma non-opioid intracellular receptor 1 (Aging-associated gene 8 protein) (SR31747-binding protein) (SR-BP) (Sigma 1-type opioid receptor) (SIG-1R) (Sigma1-receptor) (Sigma1R) (hSigmaR1),223,other,False
P05771,4,PRKCB,Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13),671,kinase,False
Q29010,4,EDNRA,Endothelin-1 receptor (Endothelin receptor type A) (ET-A) (ET-AR),427,gpcr,False
P21964,4,COMT,Catechol O-methyltransferase (EC 2.1.1.6),271,other,False
Q6V1X1,4,DPP8,Dipeptidyl peptidase 8 (DP8) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 1) (DPRP-1) (Dipeptidyl peptidase VIII) (DPP VIII) (Prolyl dipeptidase DPP8),898,protease,False
P97696,4,Cyth3,"Cytohesin-3 (PH, SEC7 and coiled-coil domain-containing protein 3) (SEC7 homolog C) (rSec7-3)",400,other,False
P46098,4,HTR3A,5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor),478,ion_channel,True
P42262,4,GRIA2,"Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2)",883,ion_channel,True
P43116,4,PTGER2,Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor),358,gpcr,False
P35348,4,ADRA1A,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),466,gpcr,False
P49684,4,Uts2r,Urotensin-2 receptor (UR-2-R) (G-protein coupled receptor 14) (G-protein coupled sensory epithelial neuropeptide-like receptor) (SENR) (Urotensin II receptor) (UR-II-R),386,gpcr,False
P48547,4,KCNC1,Voltage-gated potassium channel KCNC1 (NGK2) (Potassium voltage-gated channel subfamily C member 1) (Voltage-gated potassium channel subunit Kv3.1) (Voltage-gated potassium channel subunit Kv4),511,ion_channel,True
Q09470,4,KCNA1,Potassium voltage-gated channel subfamily A member 1 (Voltage-gated K(+) channel HuKI) (Voltage-gated potassium channel HBK1) (Voltage-gated potassium channel subunit Kv1.1),495,ion_channel,True
P42224,4,STAT1,Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84),750,other,False
P35372,4,OPRM1,Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP),400,gpcr,False
P9WGI5,4,sigB,RNA polymerase sigma factor SigB,323,other,False
Q12830,4,BPTF,Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen),3046,other,False
P56450,4,Mc4r,Melanocortin receptor 4 (MC4-R),332,gpcr,False
Q05097,4,lecA,PA-I galactophilic lectin (PA-IL) (Galactose-binding lectin),122,other,False
P50053,4,KHK,Ketohexokinase (EC 2.7.1.3) (Hepatic fructokinase),298,kinase,False
P41586,4,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor (PAC1 receptor) (PAC1R) (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),468,gpcr,False
P54833,4,ADRB2,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),415,gpcr,False
P35790,3,CHKA,Choline kinase alpha (CK) (EC 2.7.1.32) (CHETK-alpha) (Ethanolamine kinase) (EK) (EC 2.7.1.82),457,kinase,False
O95696,3,BRD1,Bromodomain-containing protein 1 (BR140-like protein) (Bromodomain and PHD finger-containing protein 2),1058,other,False
P42226,3,STAT6,Signal transducer and activator of transcription 6 (IL-4 Stat),847,other,False
Q05639,3,EEF1A2,Elongation factor 1-alpha 2 (EF-1-alpha-2) (EC 3.6.5.-) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1),463,other,False
Q8N474,3,SFRP1,Secreted frizzled-related protein 1 (FRP-1) (sFRP-1) (Secreted apoptosis-related protein 2) (SARP-2),314,other,False
P41148,3,HSP90B1,Endoplasmin (EC 3.6.4.-) (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1),804,other,False
P41145,3,OPRK1,Kappa-type opioid receptor (K-OR-1) (KOR-1),380,gpcr,False
Q05816,3,Fabp5,"Fatty acid-binding protein 5 (Epidermal-type fatty acid-binding protein) (E-FABP) (Fatty acid-binding protein, epidermal) (Keratinocyte lipid-binding protein) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)",135,other,False
P10688,3,Plcd1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)",756,other,False
Q05823,3,RNASEL,2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L),741,kinase,False
P68104,3,EEF1A1,Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7),462,other,False
Q9JI10,3,Stk3,Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)],497,kinase,False
P35563,3,Htr3a,5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor),483,ion_channel,True
O60346,3,PHLPP1,PH domain leucine-rich repeat-containing protein phosphatase 1 (EC 3.1.3.16) (Pleckstrin homology domain-containing family E member 1) (PH domain-containing family E member 1) (Suprachiasmatic nucleus circadian oscillatory protein) (hSCOP),1717,phosphatase,False
P61586,3,RHOA,Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12),193,other,False
P35377,3,Oprl1,Nociceptin receptor (K3 opiate receptor) (Kappa-type 3 opioid receptor) (KOR-3) (ORGC) (Orphanin FQ receptor),367,gpcr,False
P49682,3,CXCR3,C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183),368,gpcr,False
P01375,3,TNF,"Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]",233,other,False
Q15717,3,ELAVL1,ELAV-like protein 1 (Hu-antigen R) (HuR),326,other,False
Q06609,3,RAD51,DNA repair protein RAD51 homolog 1 (HsRAD51) (hRAD51) (EC 3.6.4.-) (RAD51 homolog A),339,other,False
Q3U3Q1,3,Ulk3,Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3),472,kinase,False
Q48255,3,aroQ,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase),167,other,False
P55055,3,NR1H2,Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor),460,nuclear_receptor,False
